"vehicle_id","test_date","test_mileage","postcode_area","make","colour","cylinder_capacity"
1429608511,2023-10-06,22178,"HA","PEUGEOT","WHITE",1997
1477096835,2023-07-11,22201,"IG","TOYOTA","BLUE",1496
457889005,2023-01-26,22229,"PR","FORD","RED",1242
990213745,2023-11-18,22313,"S","NISSAN","WHITE",1598
208769289,2023-09-01,22328,"DE","FORD","RED",999
1373110143,2023-11-06,22340,"BR","AUDI","GREY",1984
912487725,2023-09-29,22361,"HA","VOLKSWAGEN","BLACK",999
640516197,2023-03-13,22386,"ST","KIA","WHITE",1353
1130263235,2023-01-19,22403,"DY","BMW","GREY",1995
428143180,2023-05-25,22444,"FK","MORGAN","RED",1999
847296557,2023-01-30,22532,"SG","AUDI","GREY",2894
22387073,2023-02-25,22581,"KY","MAZDA","GREY",1998
578083953,2023-10-05,22610,"WN","MG","ORANGE",1498
963704571,2023-01-13,22725,"NG","MERCEDES-BENZ","BLACK",1595
855787279,2023-03-13,22728,"OL","KIA","BLUE",998
1054232267,2023-06-19,22839,"SM","LAND ROVER","BLACK",1999
483844269,2023-08-18,22862,"BR","FORD","BLACK",999
765015533,2023-06-12,22871,"NG","JAGUAR","SILVER",1997
735339949,2023-04-04,22902,"LE","FORD","RED",998
444428887,2023-02-09,22930,"RG","MINI","WHITE",1198
709894097,2023-12-11,22941,"NN","FORD","SILVER",1995
1048210241,2023-04-04,22952,"SS","PEUGEOT","RED",998
1095694323,2023-05-17,22988,"CV","LAND ROVER","BLACK",1999
1432221409,2023-07-11,23028,"LU","VAUXHALL","BLUE",1598
773494021,2023-08-16,23130,"PA","VOLKSWAGEN","BLACK",1984
781818187,2023-01-19,23166,"CR","MERCEDES-BENZ","BLACK",2987
624983851,2023-03-09,23199,"DH","HYUNDAI","BLACK",1248
938245551,2023-07-21,23207,"FY","DS","GREY",1200
740680172,2023-12-11,23248,"W","FERRARI","BLACK",5748
321880619,2023-03-06,23262,"BN","FORD","GREY",1242
734492995,2023-06-29,23269,"CF","MG","ORANGE",1498
443386247,2023-08-07,23286,"CR","VOLKSWAGEN","BLACK",1395
1358728697,2023-02-21,23378,"B","KIA","SILVER",1580
606500587,2023-06-08,23381,"E","VAUXHALL","BLACK",1364
516617195,2023-01-18,23383,"L","FORD","WHITE",1596
301254959,2023-06-09,23413,"LU","AUDI","GREY",1395
592974123,2023-06-06,23427,"WF","TOYOTA","BLUE",1197
282888135,2023-09-27,23462,"DN","NISSAN","BLUE",1198
1192357003,2023-06-16,23544,"G","RENAULT","WHITE",1333
254694051,2023-06-30,23594,"WA","NISSAN","WHITE",1198
867410163,2023-04-03,23719,"SA","NISSAN","BLACK",1461
1031779913,2023-04-15,23756,"LE","KIA","BLACK",1591
1180401311,2023-01-30,23810,"WD","BMW","GREY",2993
497758029,2023-04-11,23811,"LE","MERCEDES-BENZ","WHITE",3498
196588687,2023-03-07,23839,"PA","SEAT","SILVER",1598
1185886909,2023-02-07,23878,"NE","VOLKSWAGEN","BLACK",999
789344125,2023-10-12,23996,"B","AUDI","GREY",999
286667801,2023-07-07,24018,"DH","CITROEN","GREY",998
1319662049,2023-11-15,24021,"NR","TOYOTA","WHITE",1798
110416885,2023-12-05,24100,"TR","MAZDA","BLUE",1998
1316635048,2023-06-27,24104,"RH","APRILIA","WHITE",998
1368734957,2023-10-03,24114,"EH","BMW","BLACK",1995
507266163,2023-06-20,24188,"LE","FIAT","SILVER",1242
1121544027,2023-11-01,24194,"NG","SEAT","GREY",999
1108692445,2023-03-18,24325,"SO","PEUGEOT","BLACK",1997
435886985,2023-01-13,24340,"NG","SKODA","BLACK",1984
324784657,2023-03-31,24435,"CM","FORD","WHITE",999
